openelections_file_name,date,state,type
20000509__wv__primary__attorney_general.csv,20000509,wv,primary
20000509__wv__primary__auditor.csv,20000509,wv,primary
20000509__wv__primary__commissioner_of_agriculture.csv,20000509,wv,primary
20000509__wv__primary__governor.csv,20000509,wv,primary
20000509__wv__primary__house.csv,20000509,wv,primary
20000509__wv__primary__house_of_delegates.csv,20000509,wv,primary
20000509__wv__primary__president.csv,20000509,wv,primary
20000509__wv__primary__secretary_of_state.csv,20000509,wv,primary
20000509__wv__primary__senate.csv,20000509,wv,primary
20000509__wv__primary__state_senate.csv,20000509,wv,primary
20000509__wv__primary__state_treasurer.csv,20000509,wv,primary
20000509__wv__special__primary__state_senate__11.csv,20000509,wv,special
20001107__wv__general__attorney_general.csv,20001107,wv,general
20001107__wv__general__auditor.csv,20001107,wv,general
20001107__wv__general__commissioner_of_agriculture.csv,20001107,wv,general
20001107__wv__general__governor.csv,20001107,wv,general
20001107__wv__general__house.csv,20001107,wv,general
20001107__wv__general__house_of_delegates.csv,20001107,wv,general
20001107__wv__general__president.csv,20001107,wv,general
20001107__wv__general__secretary_of_state.csv,20001107,wv,general
20001107__wv__general__senate.csv,20001107,wv,general
20001107__wv__general__state_senate.csv,20001107,wv,general
20001107__wv__general__state_treasurer.csv,20001107,wv,general
20001107__wv__special__general__state_senate__11.csv,20001107,wv,special
20020514__wv__primary__house.csv,20020514,wv,primary
20020514__wv__primary__house_of_delegates.csv,20020514,wv,primary
20020514__wv__primary__senate.csv,20020514,wv,primary
20020514__wv__primary__state_senate.csv,20020514,wv,primary
20021105__wv__general__house.csv,20021105,wv,general
20021105__wv__general__house_of_delegates.csv,20021105,wv,general
20021105__wv__general__senate.csv,20021105,wv,general
20021105__wv__general__state_senate.csv,20021105,wv,general
20040511__wv__primary__attorney_general.csv,20040511,wv,primary
20040511__wv__primary__auditor.csv,20040511,wv,primary
20040511__wv__primary__commissioner_of_agriculture.csv,20040511,wv,primary
20040511__wv__primary__governor.csv,20040511,wv,primary
20040511__wv__primary__house.csv,20040511,wv,primary
20040511__wv__primary__house_of_delegates.csv,20040511,wv,primary
20040511__wv__primary__president.csv,20040511,wv,primary
20040511__wv__primary__secretary_of_state.csv,20040511,wv,primary
20040511__wv__primary__state_senate.csv,20040511,wv,primary
20040511__wv__primary__state_treasurer.csv,20040511,wv,primary
20041102__wv__general__attorney_general.csv,20041102,wv,general
20041102__wv__general__auditor.csv,20041102,wv,general
20041102__wv__general__commissioner_of_agriculture.csv,20041102,wv,general
20041102__wv__general__governor.csv,20041102,wv,general
20041102__wv__general__house.csv,20041102,wv,general
20041102__wv__general__house_of_delegates.csv,20041102,wv,general
20041102__wv__general__jefferson__precinct.csv,20041102,wv,general
20041102__wv__general__president.csv,20041102,wv,general
20041102__wv__general__secretary_of_state.csv,20041102,wv,general
20041102__wv__general__state_senate.csv,20041102,wv,general
20041102__wv__general__state_treasurer.csv,20041102,wv,general
20060509__wv__primary__house.csv,20060509,wv,primary
20060509__wv__primary__senate.csv,20060509,wv,primary
20060509__wv__primary__state_senate.csv,20060509,wv,primary
20061107__wv__general__house.csv,20061107,wv,general
20061107__wv__general__house_of_delegates.csv,20061107,wv,general
20061107__wv__general__senate.csv,20061107,wv,general
20061107__wv__general__state_senate.csv,20061107,wv,general
20081104__wv__general__jefferson__precinct.csv,20081104,wv,general
20030805__ms__democratic__primary.csv,20030805,ms,democratic
20040309__ms__democrat__primary__alcorn.csv,20040309,ms,democrat
20040309__ms__democrat__primary__amite.csv,20040309,ms,democrat
20061107__ms__general.csv,20061107,ms,general.csv
20071106__ms__general.csv,20071106,ms,general.csv
20080311__ms__democratic__primary.csv,20080311,ms,democratic
20080311__ms__republican__primary.csv,20080311,ms,republican
20080401__ms__primary__runoff.csv,20080401,ms,primary
20080422__ms__special__general__house__1.csv,20080422,ms,special
20080513__ms__special__general_runoff__house__1.csv,20080513,ms,special
20081104__ms__general.csv,20081104,ms,general.csv
20081104__ms__general__adams__precinct.csv,20081104,ms,general
20081104__ms__general__alcom__precinct.csv,20081104,ms,general
20100216__ms__special__general__state_senate__36.csv,20100216,ms,special
20100216__ms__special__general_runoff__state_senate__36.csv,20100216,ms,special
20100601__ms__primary.csv,20100601,ms,primary.csv
20100622__ms__primary__runoff.csv,20100622,ms,primary
20101102__ms__general.csv,20101102,ms,general.csv
