type,date,state
CUSTOM,09212004,MI
CUSTOM,02151999,MI
CUSTOM,09132003,MI
CUSTOM,11012003,MI
CUSTOM,07082003,MI
CUSTOM,04012005,MI
CUSTOM,04302001,MI
CUSTOM,04301999,MI
CUSTOM,03102000,MI
CUSTOM,10261999,MI
CUSTOM,03162002,MI
CUSTOM,06062000,MI
STATE PRIMARY,08082006,MI
CUSTOM,06011998,MI
CUSTOM,09092002,MI
AUGUST CONSOLIDATED,08042015,MI
NOVEMBER CONSOLIDATED,11062007,MI
CUSTOM,02172003,MI
CUSTOM,02092002,MI
CUSTOM,02161999,MI
CUSTOM,06062002,MI
CUSTOM,10012001,MI
CUSTOM,01312000,MI
CUSTOM,05152001,MI
CUSTOM,05062002,MI
SPECIAL ELECTION,06262012,MI
CUSTOM,08101999,MI
CUSTOM,07132004,MI
CUSTOM,09302003,MI
CUSTOM,06232003,MI
CUSTOM,03132001,MI
CUSTOM,12131999,MI
CUSTOM,04272004,MI
CUSTOM,06082004,MI
SEPTEMBER CONSOLIDATED,09152009,MI
CUSTOM,01292002,MI
CUSTOM,10052004,MI
CUSTOM,07102001,MI
CUSTOM,12142004,MI
CUSTOM,05132003,MI
CUSTOM,11231999,MI
CUSTOM,08202001,MI
CUSTOM,09261998,MI
CUSTOM,02231999,MI
CUSTOM,11262002,MI
CUSTOM,01282003,MI
CUSTOM,08142004,MI
CUSTOM,12212002,MI
CUSTOM,03202004,MI
CUSTOM,02262002,MI
CUSTOM,02212006,MI
CUSTOM,11282006,MI
CUSTOM,06032003,MI
CUSTOM,08122000,MI
CUSTOM,06032002,MI
CUSTOM,09272003,MI
CUSTOM,09172002,MI
CUSTOM,07202004,MI
CUSTOM,09172001,MI
FEBRUARY CONSOLIDATED,02242009,MI
CUSTOM,04032001,MI
CUSTOM,12081999,MI
CUSTOM,05222000,MI
CUSTOM,04152002,MI
CUSTOM,05302004,MI
CUSTOM,02161998,MI
FEBRUARY CONSOLIDATED,02272007,MI
CUSTOM,02182002,MI
CUSTOM,04012000,MI
CUSTOM,11022000,MI
CUSTOM,02272001,MI
CUSTOM,10042004,MI
CUSTOM,12071999,MI
CUSTOM,12082003,MI
CUSTOM,06262000,MI
CUSTOM,01182000,MI
CUSTOM,08272003,MI
CUSTOM,04192004,MI
CUSTOM,12062000,MI
CUSTOM,09062001,MI
CUSTOM,09201999,MI
CUSTOM,07152002,MI
CUSTOM,09122000,MI
CUSTOM,03311998,MI
CUSTOM,08112001,MI
CUSTOM,11291999,MI
FEBRUARY CONSOLIDATED,02262008,MI
CUSTOM,08202002,MI
CUSTOM,04172002,MI
AUGUST CONSOLIDATED,08062013,MI
CUSTOM,05022000,MI
CUSTOM,04061998,MI
CUSTOM,09242002,MI
CUSTOM,09182001,MI
CUSTOM,06131999,MI
CUSTOM,04062004,MI
STATE PRIMARY,08032004,MI
CUSTOM,04182000,MI
CUSTOM,12112000,MI
MARCH SPECIAL,03122013,MI
CUSTOM,05012001,MI
CUSTOM,05052001,MI
CUSTOM,06081996,MI
CUSTOM,11132001,MI
STATE GENERAL,11082016,MI
CUSTOM,10152001,MI
CUSTOM,08242000,MI
STATE GENERAL,11022004,MI
CUSTOM,05202002,MI
CUSTOM,03112002,MI
CUSTOM,04102000,MI
CUSTOM,09082000,MI
CUSTOM,03222004,MI
CUSTOM,07152003,MI
CUSTOM,09152003,MI
CUSTOM,12292003,MI
CUSTOM,03212000,MI
CUSTOM,01142003,MI
CUSTOM,12141999,MI
CUSTOM,09222003,MI
CUSTOM,04252000,MI
CUSTOM,11041999,MI
CUSTOM,05132002,MI
CUSTOM,09232002,MI
CUSTOM,10141998,MI
CUSTOM,01212002,MI
CUSTOM,02102004,MI
CUSTOM,04152000,MI
SPECIAL PRIMARY,09052012,MI
CUSTOM,08102002,MI
CUSTOM,03062004,MI
CUSTOM,05061998,MI
CUSTOM,12132004,MI
CUSTOM,08231999,MI
CUSTOM,09252004,MI
CUSTOM,03122000,MI
CUSTOM,06292004,MI
CUSTOM,12311999,MI
CUSTOM,10212003,MI
CUSTOM,08161999,MI
CUSTOM,03101998,MI
CUSTOM,09142004,MI
CUSTOM,09281999,MI
CUSTOM,02012000,MI
CUSTOM,03081999,MI
CUSTOM,08272002,MI
CUSTOM,06051998,MI
CUSTOM,06122000,MI
CUSTOM,09262006,MI
CUSTOM,10061998,MI
CUSTOM,11072005,MI
CUSTOM,09292001,MI
CUSTOM,07171999,MI
CUSTOM,03082004,MI
CUSTOM,09191998,MI
CUSTOM,06242003,MI
CUSTOM,02031998,MI
STATE GENERAL,11062012,MI
CUSTOM,05072001,MI
CUSTOM,06291999,MI
FEBRUARY CONSOLIDATED,02222011,MI
CUSTOM,07092002,MI
CUSTOM,05082001,MI
CUSTOM,11282000,MI
CUSTOM,02011999,MI
CUSTOM,06042002,MI
CUSTOM,09232000,MI
CUSTOM,04122004,MI
CUSTOM,03152004,MI
CUSTOM,08281999,MI
CUSTOM,03272004,MI
CUSTOM,09262000,MI
CUSTOM,07052004,MI
CUSTOM,02102003,MI
CUSTOM,02162004,MI
MAY CONSOLIDATED,05052009,MI
CUSTOM,07012003,MI
CUSTOM,06012003,MI
CUSTOM,05072002,MI
CUSTOM,06281999,MI
CUSTOM,06272002,MI
CUSTOM,11052001,MI
CUSTOM,08032005,MI
CUSTOM,09192000,MI
CUSTOM,06172004,MI
PRESIDENTIAL PRIMARY,03082016,MI
CUSTOM,04082003,MI
CUSTOM,09232003,MI
CUSTOM,04172001,MI
CUSTOM,12201999,MI
CUSTOM,06032004,MI
CUSTOM,03232000,MI
CUSTOM,02082002,MI
CUSTOM,06061998,MI
CUSTOM,11122001,MI
CUSTOM,11062003,MI
CUSTOM,03272000,MI
CUSTOM,02181999,MI
CUSTOM,02192002,MI
CUSTOM,08172004,MI
CUSTOM,06112002,MI
CUSTOM,04162002,MI
CUSTOM,04172000,MI
CUSTOM,12252002,MI
CUSTOM,11272001,MI
CUSTOM,03032003,MI
