COUNTY NAME,COUNTY CODE,COUNTYFP,CLASSFP
Alachua,ALA,1,H1
Baker,BAK,3,H1
Bay,BAY,5,H1
Bradford,BRA,7,H1
Brevard,BRE,9,H1
Broward,BRO,11,H1
Calhoun,CAL,13,H1
Charlotte,CHA,15,H1
Citrus,CIT,17,H1
Clay,CLA,19,H1
Collier,CLL,21,H1
Columbia,CLM,23,H1
Miami-Dade,DAD,86,H1
Desoto,DES,27,H1
Dixie,DIX,29,H1
Duval,DUV,31,H6
Escambia,ESC,33,H1
Flagler,FLA,35,H1
Franklin,FRA,37,H1
Gadsden,GAD,39,H1
Gilchrist,GIL,41,H1
Glades,GLA,43,H1
Nassau,NAS,89,H1
Okaloosa,OKA,91,H1
Okeechobee,OKE,93,H1
Orange,ORA,95,H1
Osceola,OSC,97,H1
Palm Beach,PAL,99,H1
Pasco,PAS,101,H1
Pinellas,PIN,103,H1
Polk,POL,105,H1
Putnam,PUT,107,H1
Santa Rosa,SAN,109,H1
Sarasota,SAR,111,H1
Seminole,SEM,113,H1
St. Johns,STJ,115,H1
St. Lucie,STL,117,H1
Sumter,SUM,119,H1
Suwannee,SUW,121,H1
Taylor,TAY,123,H1
Union,UNI,125,H1
Volusia,VOL,127,H1
Wakulla,WAK,129,H1
Walton,WAL,131,H1
Washington,WAS,133,H1
Gulf,GUL,45,H1
Hamilton,HAM,47,H1
Hardee,HAR,49,H1
Hendry,HEN,51,H1
Hernando,HER,53,H1
Highlands,HIG,55,H1
Hillsborough,HIL,57,H1
Holmes,HOL,59,H1
Indian River,IND,61,H1
Jackson,JAC,63,H1
Jefferson,JEF,65,H1
Lafayette,LAF,67,H1
Lake,LAK,69,H1
Lee,LEE,71,H1
Leon,LEO,73,H1
Levy,LEV,75,H1
Liberty,LIB,77,H1
Madison,MAD,79,H1
Manatee,MAN,81,H1
Marion,MRN,83,H1
Martin,MRT,85,H1
Monroe,MON,87,H1
