COUNTY NAME,COUNTY CODE,COUNTYFP,CLASSFP
Albany,01,1,H1
Allegany,02,3,H1
Bronx,03,5,H6
Broome,04,7,H1
Cattaraugus,05,9,H1
Cayuga,06,11,H1
Chautauqua,07,13,H1
Chemung,08,15,H1
Chenango,09,17,H1
Clinton,10,19,H1
Columbia,11,21,H1
Cortland,12,23,H1
Delaware,13,25,H1
Dutchess,14,27,H1
Erie,15,29,H1
Essex,16,31,H1
Franklin,17,33,H1
Fulton,18,35,H1
Genesee,19,37,H1
Greene,20,39,H1
Hamilton,21,41,H1
Herkimer,22,43,H1
Jefferson,23,45,H1
Kings,24,47,H6
Lewis,25,49,H1
Livingston,26,51,H1
Madison,27,53,H1
Monroe,28,55,H1
Montgomery,29,57,H1
Nassau,30,59,H1
New York,31,61,H6
Niagara,32,63,H1
Oneida,33,65,H1
Onondaga,34,67,H1
Ontario,35,69,H1
Orange,36,71,H1
Orleans,37,73,H1
Oswego,38,75,H1
Otsego,39,77,H1
Putnam,40,79,H1
Queens,41,81,H6
Rensselaer,42,83,H1
Richmond,43,85,H6
Rockland,44,87,H1
Saratoga,45,89,H1
Schenectady,46,91,H1
Schoharie,47,93,H1
Schuyler,48,95,H1
Seneca,49,97,H1
St.Lawrence,50,99,H1
Steuben,51,101,H1
Suffolk,52,103,H1
Sullivan,53,105,H1
Tioga,54,107,H1
Tompkins,55,109,H1
Ulster,56,111,H1
Warren,57,113,H1
Washington,58,115,H1
Wayne,59,117,H1
Westchester,60,119,H1
Wyoming,61,121,H1
Yates,62,123,H1
